[2023-04-10 16:41:56,982][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 16:41:58,408][worker-0][ERROR] An error happened during initializing app components: No module named 'PyPDF2'
[2023-04-10 16:42:31,089][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 16:42:32,171][worker-0][ERROR] An error happened during initializing app components: No module named 'fraction'
[2023-04-10 16:43:13,710][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 16:43:15,519][worker-0][INFO] Initialized application
[2023-04-10 16:43:15,519][worker-0][INFO] Initialized Seeds
[2023-04-10 16:43:15,519][worker-0][INFO] Initialized CORS
[2023-04-10 16:43:15,519][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 16:52:26,111][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 16:52:27,456][worker-0][INFO] Initialized application
[2023-04-10 16:52:27,456][worker-0][INFO] Initialized Seeds
[2023-04-10 16:52:27,457][worker-0][INFO] Initialized CORS
[2023-04-10 16:52:27,457][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:06:24,987][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:06:26,270][worker-0][INFO] Initialized application
[2023-04-10 17:06:26,270][worker-0][INFO] Initialized Seeds
[2023-04-10 17:06:26,270][worker-0][INFO] Initialized CORS
[2023-04-10 17:06:26,270][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:09:33,317][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:09:34,608][worker-0][INFO] Initialized application
[2023-04-10 17:09:34,608][worker-0][INFO] Initialized Seeds
[2023-04-10 17:09:34,608][worker-0][INFO] Initialized CORS
[2023-04-10 17:09:34,608][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:12:46,886][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:12:48,231][worker-0][INFO] Initialized application
[2023-04-10 17:12:48,231][worker-0][INFO] Initialized Seeds
[2023-04-10 17:12:48,231][worker-0][INFO] Initialized CORS
[2023-04-10 17:12:48,231][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:13:49,721][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:13:51,014][worker-0][INFO] Initialized application
[2023-04-10 17:13:51,014][worker-0][INFO] Initialized Seeds
[2023-04-10 17:13:51,014][worker-0][INFO] Initialized CORS
[2023-04-10 17:13:51,014][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:16:48,778][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:16:50,089][worker-0][INFO] Initialized application
[2023-04-10 17:16:50,089][worker-0][INFO] Initialized Seeds
[2023-04-10 17:16:50,089][worker-0][INFO] Initialized CORS
[2023-04-10 17:16:50,089][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:18:44,806][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:18:45,979][worker-0][INFO] Initialized application
[2023-04-10 17:18:45,979][worker-0][INFO] Initialized Seeds
[2023-04-10 17:18:45,979][worker-0][INFO] Initialized CORS
[2023-04-10 17:18:45,979][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:22:46,801][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:22:47,977][worker-0][INFO] Initialized application
[2023-04-10 17:22:47,978][worker-0][INFO] Initialized Seeds
[2023-04-10 17:22:47,978][worker-0][INFO] Initialized CORS
[2023-04-10 17:22:47,978][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 17:28:18,057][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 17:28:19,351][worker-0][INFO] Initialized application
[2023-04-10 17:28:19,352][worker-0][INFO] Initialized Seeds
[2023-04-10 17:28:19,352][worker-0][INFO] Initialized CORS
[2023-04-10 17:28:19,352][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 18:53:21,106][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 18:53:21,122][worker-0][ERROR] An error happened during initializing app components: unexpected EOF while parsing (views.py, line 478)
[2023-04-10 18:53:53,874][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 18:53:53,874][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 18:53:55,074][worker-0][INFO] Initialized application
[2023-04-10 18:53:55,074][worker-0][INFO] Initialized application
[2023-04-10 18:53:55,075][worker-0][INFO] Initialized Seeds
[2023-04-10 18:53:55,075][worker-0][INFO] Initialized Seeds
[2023-04-10 18:53:55,077][worker-0][INFO] Initialized CORS
[2023-04-10 18:53:55,077][worker-0][INFO] Initialized CORS
[2023-04-10 18:53:55,078][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 18:53:55,078][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 20:45:30,921][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 20:45:30,921][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 20:45:30,921][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 20:45:30,955][worker-0][INFO] Initialized application
[2023-04-10 20:45:30,955][worker-0][INFO] Initialized application
[2023-04-10 20:45:30,955][worker-0][INFO] Initialized application
[2023-04-10 20:45:30,957][worker-0][INFO] Initialized Seeds
[2023-04-10 20:45:30,957][worker-0][INFO] Initialized Seeds
[2023-04-10 20:45:30,957][worker-0][INFO] Initialized Seeds
[2023-04-10 20:45:30,959][worker-0][INFO] Initialized CORS
[2023-04-10 20:45:30,959][worker-0][INFO] Initialized CORS
[2023-04-10 20:45:30,959][worker-0][INFO] Initialized CORS
[2023-04-10 20:45:30,961][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 20:45:30,961][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 20:45:30,961][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 21:16:44,385][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:16:44,385][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:16:44,385][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:16:44,385][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:16:44,399][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.first
[2023-04-10 21:16:44,399][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.first
[2023-04-10 21:16:44,399][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.first
[2023-04-10 21:16:44,399][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.first
[2023-04-10 21:17:06,217][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:17:06,217][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:17:06,217][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:17:06,217][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:17:06,217][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 21:17:06,234][worker-0][INFO] Initialized application
[2023-04-10 21:17:06,234][worker-0][INFO] Initialized application
[2023-04-10 21:17:06,234][worker-0][INFO] Initialized application
[2023-04-10 21:17:06,234][worker-0][INFO] Initialized application
[2023-04-10 21:17:06,234][worker-0][INFO] Initialized application
[2023-04-10 21:17:06,235][worker-0][INFO] Initialized Seeds
[2023-04-10 21:17:06,235][worker-0][INFO] Initialized Seeds
[2023-04-10 21:17:06,235][worker-0][INFO] Initialized Seeds
[2023-04-10 21:17:06,235][worker-0][INFO] Initialized Seeds
[2023-04-10 21:17:06,235][worker-0][INFO] Initialized Seeds
[2023-04-10 21:17:06,237][worker-0][INFO] Initialized CORS
[2023-04-10 21:17:06,237][worker-0][INFO] Initialized CORS
[2023-04-10 21:17:06,237][worker-0][INFO] Initialized CORS
[2023-04-10 21:17:06,237][worker-0][INFO] Initialized CORS
[2023-04-10 21:17:06,237][worker-0][INFO] Initialized CORS
[2023-04-10 21:17:06,237][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 21:17:06,237][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 21:17:06,237][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 21:17:06,237][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 21:17:06,237][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 23:02:51,399][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:02:51,399][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:02:51,399][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:02:51,399][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:02:51,399][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:02:51,399][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:02:51,482][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-10 23:02:51,482][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-10 23:02:51,482][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-10 23:02:51,482][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-10 23:02:51,482][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-10 23:02:51,482][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-10 23:03:17,753][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:03:17,753][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:03:17,753][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:03:17,753][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:03:17,753][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:03:17,753][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:03:17,753][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-10 23:03:17,805][worker-0][INFO] Initialized application
[2023-04-10 23:03:17,805][worker-0][INFO] Initialized application
[2023-04-10 23:03:17,805][worker-0][INFO] Initialized application
[2023-04-10 23:03:17,805][worker-0][INFO] Initialized application
[2023-04-10 23:03:17,805][worker-0][INFO] Initialized application
[2023-04-10 23:03:17,805][worker-0][INFO] Initialized application
[2023-04-10 23:03:17,805][worker-0][INFO] Initialized application
[2023-04-10 23:03:17,810][worker-0][INFO] Initialized Seeds
[2023-04-10 23:03:17,810][worker-0][INFO] Initialized Seeds
[2023-04-10 23:03:17,810][worker-0][INFO] Initialized Seeds
[2023-04-10 23:03:17,810][worker-0][INFO] Initialized Seeds
[2023-04-10 23:03:17,810][worker-0][INFO] Initialized Seeds
[2023-04-10 23:03:17,810][worker-0][INFO] Initialized Seeds
[2023-04-10 23:03:17,810][worker-0][INFO] Initialized Seeds
[2023-04-10 23:03:17,813][worker-0][INFO] Initialized CORS
[2023-04-10 23:03:17,813][worker-0][INFO] Initialized CORS
[2023-04-10 23:03:17,813][worker-0][INFO] Initialized CORS
[2023-04-10 23:03:17,813][worker-0][INFO] Initialized CORS
[2023-04-10 23:03:17,813][worker-0][INFO] Initialized CORS
[2023-04-10 23:03:17,813][worker-0][INFO] Initialized CORS
[2023-04-10 23:03:17,813][worker-0][INFO] Initialized CORS
[2023-04-10 23:03:17,816][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 23:03:17,816][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 23:03:17,816][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 23:03:17,816][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 23:03:17,816][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 23:03:17,816][worker-0][INFO] App Initialization is finished successfully
[2023-04-10 23:03:17,816][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,803][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:21,895][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,630][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,689][worker-0][INFO] Initialized application
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,693][worker-0][INFO] Initialized Seeds
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,697][worker-0][INFO] Initialized CORS
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:14:48,702][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,475][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,572][worker-0][INFO] Initialized application
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,579][worker-0][INFO] Initialized Seeds
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,587][worker-0][INFO] Initialized CORS
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:27:22,593][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,584][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
